t_ms,current_um_A,current_um_B,target_um
22.59999096,99.4715,99.55,99.5
22.639990943999997,99.4715,99.55,99.5
22.679990928,99.4715,99.5501,99.5
22.719990912,99.4715,99.5501,99.5
22.759990896,99.4714,99.5502,99.5
22.79999088,99.4715,99.5503,99.5
22.839990864,99.4714,99.5504,99.5
22.879990848,99.4714,99.5505,99.5
22.919990832,99.4715,99.5506,99.5
22.959990816,99.4715,99.5507,99.5
22.9999908,99.4715,99.5508,99.5
23.039990784,99.4714,99.5509,99.5
23.079990768,99.4714,99.5511,99.5
23.119990752,99.4713,99.5511,99.5
23.159990735999997,99.4714,99.5512,99.5
23.199990720000002,99.4714,99.5513,99.5
23.239990704,99.4714,99.5514,99.5
23.279990688,99.4714,99.5515,99.5
23.319990672,99.4714,99.5516,99.5
23.359990655999997,99.4713,99.5517,99.5
23.39999064,99.4713,99.5518,99.5
23.439990624,99.4713,99.5519,99.5
23.479990608,99.4713,99.552,99.5
23.519990592,99.4713,99.5521,99.5
23.559990576,99.4712,99.5523,99.5
23.59999056,99.4713,99.5524,99.5
23.639990544,99.4713,99.5525,99.5
23.679990527999998,99.4712,99.5527,99.5
23.719990512000003,99.4712,99.5528,99.5
23.759990496,99.4713,99.5529,99.5
23.799990479999998,99.4713,99.5531,99.5
23.839990464,99.4713,99.5532,99.5
23.879990447999997,99.4713,99.5533,99.5
23.919990432,99.4713,99.5534,99.5
23.959990416,99.4712,99.5536,99.5
23.9999904,99.4713,99.5537,99.5
24.039990384,99.4713,99.5539,99.5
24.079990368,99.4712,99.554,99.5
24.119990352,99.4712,99.5541,99.5
24.159990336,99.4712,99.5543,99.5
24.19999032,99.4711,99.5545,99.5
24.239990304,99.4711,99.5546,99.5
24.279990288,99.4711,99.5548,99.5
24.319990272,99.471,99.5549,99.5
24.359990256,99.471,99.5551,99.5
24.399990239999997,99.471,99.5552,99.5
24.439990224000002,99.471,99.5554,99.5
24.479990208,99.471,99.5555,99.5
24.519990192,99.471,99.5556,99.5
24.559990176,99.4709,99.5558,99.5
24.599990159999997,99.4709,99.556,99.5
24.639990144,99.4709,99.5561,99.5
24.679990128,99.4709,99.5563,99.5
24.719990112,99.4709,99.5564,99.5
24.759990096,99.4709,99.5566,99.5
24.79999008,99.4709,99.5567,99.5
24.839990064,99.4709,99.5569,99.5
24.879990048,99.4708,99.557,99.5
24.919990031999998,99.4708,99.5572,99.5
24.959990016000003,99.4708,99.5573,99.5
24.99999,99.4708,99.5575,99.5
25.039989983999998,99.4707,99.5576,99.5
25.079989968,99.4707,99.5578,99.5
25.119989951999997,99.4706,99.5579,99.5
25.159989936,99.4705,99.5581,99.5
25.19998992,99.4705,99.5583,99.5
25.239989904,99.4705,99.5584,99.5
25.279989888,99.4705,99.5585,99.5
25.319989872,99.4705,99.5587,99.5
25.359989856,99.4705,99.5589,99.5
25.399989839999996,99.4705,99.5591,99.5
25.439989824,99.4705,99.5592,99.5
25.479989808,99.4705,99.5594,99.5
25.519989792,99.4705,99.5595,99.5
25.559989776,99.4704,99.5597,99.5
25.59998976,99.4703,99.5598,99.5
25.639989743999998,99.4703,99.56,99.5
25.679989728000002,99.4703,99.5602,99.5
25.719989712,99.4703,99.5603,99.5
25.759989696,99.4703,99.5605,99.5
25.79998968,99.4703,99.5606,99.5
25.839989663999997,99.4703,99.5608,99.5
25.879989648,99.4703,99.561,99.5
25.919989632,99.4703,99.5613,99.5
25.959989616,99.4703,99.5615,99.5
25.9999896,99.4702,99.5616,99.5
26.039989584,99.4702,99.5618,99.5
26.079989568,99.4702,99.562,99.5
26.119989552,99.4702,99.5622,99.5
26.159989535999998,99.4702,99.5623,99.5
26.199989520000003,99.4702,99.5625,99.5
26.239989504,99.4702,99.5627,99.5
26.279989488,99.4702,99.5628,99.5
26.319989472,99.4701,99.563,99.5
26.359989455999997,99.4701,99.5632,99.5
26.39998944,99.4701,99.5634,99.5
26.439989424,99.4701,99.5636,99.5
26.479989408,99.4701,99.5638,99.5
26.519989392,99.4701,99.564,99.5
26.559989376,99.47,99.5642,99.5
26.59998936,99.47,99.5643,99.5
26.639989343999996,99.47,99.5645,99.5
26.679989328,99.47,99.5647,99.5
26.719989312,99.4699,99.5648,99.5
26.759989296,99.4699,99.565,99.5
26.79998928,99.4699,99.5652,99.5
26.839989264,99.4699,99.5654,99.5
26.879989247999998,99.4698,99.5655,99.5
26.919989232000002,99.4698,99.5657,99.5
26.959989216,99.4697,99.5659,99.5
26.9999892,99.4697,99.5661,99.5
27.039989184,99.4697,99.5663,99.5
27.079989167999997,99.4696,99.5665,99.5
27.119989152,99.4696,99.5667,99.5
27.159989136,99.4696,99.5669,99.5
27.19998912,99.4696,99.567,99.5
27.239989104,99.4695,99.5672,99.5
27.279989088,99.4695,99.5674,99.5
27.319989072,99.4695,99.5676,99.5
